category,expected,found,number_of_items,sources_checked,specific_search_terms_used,status,notes
Electricity,yes,yes,2,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,electricity; power grid; GECOL; الكهرباء; الشبكة العامة; الشركة العامة للكهرباء,found,2 accepted item(s) matched category terms or section.
Reconstruction,yes,yes,4,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,reconstruction; Derna; development projects; إعادة الإعمار; درنة; مشروعات التنمية,found,4 accepted item(s) matched category terms or section.
Economy,yes,yes,17,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,Central Bank; NOC; oil; fuel; electricity; Audit Bureau; مصرف ليبيا المركزي; المؤسسة الوطنية للنفط; النفط; الوقود; الكهرباء; ديوان المحاسبة,found,17 accepted item(s) matched category terms or section.
Environment,yes,partial,4,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,environment; weather; floods; climate; water; groundwater; livestock; بيئة; طقس; فيضانات; مناخ; مياه; مياه جوفية; الثروة الحيوانية,review_only,4 item(s) were collected but require date/editorial review.
Regional Diplomacy,yes,yes,6,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,regional diplomacy; Tunisia; Egypt; Italy; France; Uganda; تونس; مصر; إيطاليا; فرنسا; أوغندا,found,6 accepted item(s) matched category terms or section.
Regional & International,yes,yes,5,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,Reuters Libya; Anadolu Libya; international Libya; ليبيا دولي; ليبيا إقليمي,found,5 accepted item(s) matched category terms or section.
Analysis,yes,partial,5,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,analysis; commentary; opinion; تحليل; تعليق,review_only,5 item(s) were collected but require date/editorial review.
Opinion,yes,partial,5,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,opinion; column; commentary; رأي; مقال,review_only,5 item(s) were collected but require date/editorial review.
Features,yes,partial,3,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,feature; interview; podcast; long-form; تقرير; مقابلة; بودكاست,review_only,3 item(s) were collected but require date/editorial review.
Varieties,yes,yes,1,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,sports Libya; culture Libya; analysis Libya; opinion Libya; رياضة ليبيا; ثقافة ليبيا; تحليل ليبيا; رأي ليبيا,found,1 accepted item(s) matched category terms or section.
