source_name,fetch_status,discovery_sources,collection_timestamp,candidate_links_found,article_pages_opened,date_parsed_count,accepted_count,review_count,rejected_date_count,rejected_relevance_count,zero_result_reason,error
Libya Review,ok,https://libyareview.com/category/libya/ | https://libyareview.com/ | https://libyareview.com/feed/ | https://libyareview.com/?s=UNSMIL+Libya | https://libyareview.com/?s=structured+dialogue+reaction | https://libyareview.com/?s=Libya+arrests | https://libyareview.com/?s=Libya+migrant+smuggling | https://libyareview.com/?s=Libya+oil+production | https://libyareview.com/?s=Libya+Egypt+talks | https://libyareview.com/?s=Libya+analysis,2026-06-17T06:52:09Z,139,46,46,11,93,35,0,all_items_outside_date_window,
Address Libya,ok,https://www.addresslibya.com/libya/ | https://www.addresslibya.com/ | https://www.addresslibya.com/feed/ | https://www.addresslibya.com/?s=UNSMIL+Libya | https://www.addresslibya.com/?s=Libya+arrests | https://www.addresslibya.com/?s=Libya+migrant+smuggling | https://www.addresslibya.com/?s=Libya+oil+production | https://www.addresslibya.com/?s=Libya+Egypt+talks,2026-06-17T06:52:38Z,57,34,54,11,1,30,15,all_items_outside_date_window,
Al Shahed,ok,https://lywitness.com/category/libya/ | https://lywitness.com/ | https://lywitness.com/feed/ | https://lywitness.com/?s=UNSMIL+Libya | https://lywitness.com/?s=Libya+Egypt+talks,2026-06-17T06:52:56Z,38,26,35,15,0,20,3,,
Al Marsad,ok,https://almarsad.co/category/libya/ | https://almarsad.co/ | https://almarsad.co/feed/ | https://almarsad.co/?s=UNSMIL+Libya | https://almarsad.co/?s=structured+dialogue+reaction | https://almarsad.co/?s=Libya+arrests | https://almarsad.co/?s=Libya+migrant+smuggling | https://almarsad.co/?s=Libya+Egypt+talks,2026-06-17T06:53:05Z,85,30,85,55,0,0,30,,
Libya Update,ok,https://libyaupdate.com/news/ | https://libyaupdate.com/ | https://libyaupdate.com/feed/ | https://libyaupdate.com/?s=UNSMIL+Libya | https://libyaupdate.com/?s=Libya+oil+production | https://libyaupdate.com/?s=Libya+Egypt+talks,2026-06-17T06:53:29Z,69,30,30,8,20,20,21,,
Fawasel Media,ok,https://fawaselmedia.com/category/politics/ | https://fawaselmedia.com/ | https://fawaselmedia.com/feed/ | https://fawaselmedia.com/?s=UNSMIL+Libya | https://fawaselmedia.com/?s=Libya+Egypt+talks,2026-06-17T06:54:19Z,16,16,13,0,0,13,3,all_items_outside_date_window,
Tanasuh,ok,https://tanasuh.tv/category/news/ | https://tanasuh.tv/ | https://tanasuh.tv/feed/ | https://tanasuh.tv/?s=UNSMIL+Libya | https://tanasuh.tv/?s=Libya+Egypt+talks,2026-06-17T06:54:25Z,20,12,17,6,0,0,14,,
Akhbar Libya 24,ok,https://akhbarlibya24.net/category/libya-news/ | https://akhbarlibya24.net/ | https://akhbarlibya24.net/feed/ | https://akhbarlibya24.net/?s=UNSMIL+Libya | https://akhbarlibya24.net/?s=structured+dialogue+reaction | https://akhbarlibya24.net/?s=Libya+Egypt+talks,2026-06-17T06:54:35Z,44,22,44,11,17,8,8,,
Al Saaa 24,ok,https://alsaaa24.net/category/libya | https://alsaaa24.net/ | https://alsaaa24.net/feed,2026-06-17T06:55:10Z,31,18,24,0,6,10,15,all_items_outside_date_window,
Asharq Al Awsat,ok,https://aawsat.com/tags/%D9%84%D9%8A%D8%A8%D9%8A%D8%A7 | https://aawsat.com/feed | https://aawsat.com/rss/ | https://aawsat.com/search?search=UNSMIL+Libya | https://aawsat.com/search?search=Libya+Egypt+talks | https://aawsat.com/search?search=Libya+analysis,2026-06-17T06:56:09Z,0,0,0,0,0,0,0,no_article_links_found,
Al Mashhad,ok,https://www.almashhad.com/section/773112298002792-News/ | https://www.almashhad.com/feed/ | https://www.almashhad.com/rss.xml,2026-06-17T06:56:47Z,0,0,0,0,0,0,0,no_article_links_found,"https://www.almashhad.com/rss/: requests=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); requests_with_browser_headers=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); session_reuse=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); playwright_default=Failed to fetch https://www.almashhad.com/rss/ after 1 attempts"
Al Ain,ok,https://al-ain.com/tag/libya | https://al-ain.com/ | https://al-ain.com/feed/ | https://al-ain.com/search?query=UNSMIL+Libya | https://al-ain.com/search?query=Libya+Egypt+talks,2026-06-17T06:56:56Z,55,18,18,0,0,0,55,all_items_failed_relevance_filter,
Arabi21,ok,https://arabi21.com/stories/t/49474/0/%D9%84%D9%8A%D8%A8%D9%8A%D8%A7 | https://arabi21.com/feed/ | https://arabi21.com/rss/ | https://arabi21.com/Search?searchText=UNSMIL+Libya | https://arabi21.com/Search?searchText=Libya+Egypt+talks | https://arabi21.com/Search?searchText=Libya+analysis,2026-06-17T06:57:05Z,5,5,5,0,0,0,5,all_items_failed_relevance_filter,
New Arab,ok,https://www.newarab.com/tag/libya | https://www.newarab.com/rss | https://www.newarab.com/search?search_api_fulltext=UNSMIL+Libya | https://www.newarab.com/search?search_api_fulltext=Libya+Egypt+talks | https://www.newarab.com/search?search_api_fulltext=Libya+analysis,2026-06-17T06:57:24Z,13,13,7,0,0,1,12,all_items_outside_date_window,
ANSA,ok,https://www.ansa.it/english/ | https://www.ansa.it/english/news/world/ | https://www.ansa.it/feed/,2026-06-17T06:57:36Z,31,18,15,0,0,0,31,all_items_failed_relevance_filter,
Anadolu Agency,ok,https://www.aa.com.tr/en/africa | https://www.aa.com.tr/en | https://www.aa.com.tr/feed/ | https://www.aa.com.tr/en/search/?s=UNSMIL+Libya | https://www.aa.com.tr/en/search/?s=Libya+Egypt+talks,2026-06-17T06:58:18Z,18,14,0,0,0,0,18,all_items_failed_relevance_filter,"https://www.aa.com.tr/rss/: requests=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); requests_with_browser_headers=Exceeded 30 redirects.; session_reuse=Exceeded 30 redirects.; playwright_default=Failed to fetch https://www.aa.com.tr/rss/ after 1 attempts"
The Guardian,ok,https://www.theguardian.com/world/libya | https://www.theguardian.com/feed | https://www.theguardian.com/uk/rss,2026-06-17T06:58:31Z,31,18,13,0,0,0,31,all_items_failed_relevance_filter,
BSS News,ok,https://www.bssnews.net/international | https://www.bssnews.net/ | https://www.bssnews.net/feed/,2026-06-17T06:58:40Z,9,9,8,0,0,0,9,all_items_failed_relevance_filter,
CH Aviation,ok,https://www.ch-aviation.com/news | https://www.ch-aviation.com/feed/ | https://www.ch-aviation.com/rss/,2026-06-17T06:58:54Z,27,18,0,0,0,0,27,all_items_failed_relevance_filter,
Volcanodiscovery,ok,https://www.volcanodiscovery.com/earthquakes/libya.html | https://www.volcanodiscovery.com/feed/ | https://www.volcanodiscovery.com/rss/,2026-06-17T06:59:04Z,15,15,11,0,0,2,13,all_items_outside_date_window,
Reuters,ok,https://www.reuters.com/world/africa/ | https://www.reuters.com/feed/ | https://www.reuters.com/rss/ | https://www.reuters.com/site-search/?query=UNSMIL+Libya | https://www.reuters.com/site-search/?query=Libya+Egypt+talks,2026-06-17T06:59:33Z,0,0,0,0,0,0,0,no_article_links_found,
AP,ok,https://apnews.com/hub/libya | https://apnews.com/feed/ | https://apnews.com/rss/ | https://apnews.com/search?q=UNSMIL+Libya | https://apnews.com/search?q=Libya+Egypt+talks,2026-06-17T06:59:51Z,261,26,25,0,0,0,261,all_items_failed_relevance_filter,
BBC,ok,https://www.bbc.com/news/topics/c302m85qenyt | https://www.bbc.com/feed/ | https://www.bbc.com/rss/ | https://www.bbc.co.uk/search?q=UNSMIL+Libya&edgeauth=eyJhbGciOiAiSFMyNTYiLCAidHlwIjogIkpXVCJ9.eyJrZXkiOiAiZmFzdGx5LXVyaS10b2tlbi0xIiwiZXhwIjogMTc4MTY4MDAxNywibmJmIjogMTc4MTY3OTY1NywicmVxdWVzdHVyaSI6ICIlMkZzZWFyY2glM0ZxJTNEVU5TTUlMJTJCTGlieWEifQ.2DziULU2Z54C3mfEQHy80WB9Jo9ywagKhlV8Klz6d7g | https://www.bbc.co.uk/search?q=Libya+Egypt+talks&edgeauth=eyJhbGciOiAiSFMyNTYiLCAidHlwIjogIkpXVCJ9.eyJrZXkiOiAiZmFzdGx5LXVyaS10b2tlbi0xIiwiZXhwIjogMTc4MTY4MDQ5MSwibmJmIjogMTc4MTY4MDEzMSwicmVxdWVzdHVyaSI6ICIlMkZzZWFyY2glM0ZxJTNETGlieWElMkJFZ3lwdCUyQnRhbGtzIn0.lx5F3OJbtJSG2Q07zEcqrKm8wr0rtSMdnfzry6Yvd-A,2026-06-17T07:00:04Z,69,26,13,0,13,4,52,all_items_failed_relevance_filter,
Al Jazeera Arabic - Libya,ok,https://www.aljazeera.net/where/mideast/arab/libya/ | https://www.aljazeera.net/feed/ | https://www.aljazeera.net/rss/ | https://www.aljazeera.net/search/unsmil+libya | https://www.aljazeera.net/search/libya+egypt+talks | https://www.aljazeera.net/search/libya+analysis,2026-06-17T07:00:20Z,100,30,29,7,3,13,77,,
