source_name,source_url,fetch_status,candidate_links_found,article_pages_opened,date_parsed_count,accepted_count,rejected_date_count,rejected_relevance_count,uncertain_date_count,failed_count,zero_result_reason,error,notes,checked_at
Libya Review,https://libyareview.com/category/libya/ | https://libyareview.com/ | https://libyareview.com/feed/ | https://libyareview.com/?s=UNSMIL+Libya | https://libyareview.com/?s=structured+dialogue+reaction | https://libyareview.com/?s=Libya+arrests | https://libyareview.com/?s=Libya+migrant+smuggling | https://libyareview.com/?s=Libya+oil+production | https://libyareview.com/?s=Libya+Egypt+talks | https://libyareview.com/?s=Libya+analysis,ok,139,46,46,11,35,0,93,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Politics; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Military & Security; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Human Rights & Rule of Law; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Economy & Energy; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Regional & International; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Varieties",2026-06-17T06:52:09Z
Address Libya,https://www.addresslibya.com/libya/ | https://www.addresslibya.com/ | https://www.addresslibya.com/feed/ | https://www.addresslibya.com/?s=UNSMIL+Libya | https://www.addresslibya.com/?s=Libya+arrests | https://www.addresslibya.com/?s=Libya+migrant+smuggling | https://www.addresslibya.com/?s=Libya+oil+production | https://www.addresslibya.com/?s=Libya+Egypt+talks,ok,57,34,54,11,30,15,1,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Military & Security; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Human Rights & Rule of Law; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Economy & Energy; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Regional & International",2026-06-17T06:52:38Z
Al Shahed,https://lywitness.com/category/libya/ | https://lywitness.com/ | https://lywitness.com/feed/ | https://lywitness.com/?s=UNSMIL+Libya | https://lywitness.com/?s=Libya+Egypt+talks,ok,38,26,35,15,20,3,0,0,,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Regional & International",2026-06-17T06:52:56Z
Al Marsad,https://almarsad.co/category/libya/ | https://almarsad.co/ | https://almarsad.co/feed/ | https://almarsad.co/?s=UNSMIL+Libya | https://almarsad.co/?s=structured+dialogue+reaction | https://almarsad.co/?s=Libya+arrests | https://almarsad.co/?s=Libya+migrant+smuggling | https://almarsad.co/?s=Libya+Egypt+talks,ok,85,30,85,55,0,30,0,0,,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Politics; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Military & Security; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Human Rights & Rule of Law; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['session_reuse', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Regional & International",2026-06-17T06:53:05Z
Libya Update,https://libyaupdate.com/news/ | https://libyaupdate.com/ | https://libyaupdate.com/feed/ | https://libyaupdate.com/?s=UNSMIL+Libya | https://libyaupdate.com/?s=Libya+oil+production | https://libyaupdate.com/?s=Libya+Egypt+talks,ok,69,30,30,8,20,21,20,0,,,"rejected_non_article=2; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests', 'requests:article_page_verification', 'requests_with_browser_headers:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests:article_page_verification']; contextual_pass=section_coverage:Economy & Energy; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests:article_page_verification']; contextual_pass=section_coverage:Regional & International",2026-06-17T06:53:29Z
Fawasel Media,https://fawaselmedia.com/category/politics/ | https://fawaselmedia.com/ | https://fawaselmedia.com/feed/ | https://fawaselmedia.com/?s=UNSMIL+Libya | https://fawaselmedia.com/?s=Libya+Egypt+talks,ok,16,16,13,0,13,3,0,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Regional & International",2026-06-17T06:54:19Z
Tanasuh,https://tanasuh.tv/category/news/ | https://tanasuh.tv/ | https://tanasuh.tv/feed/ | https://tanasuh.tv/?s=UNSMIL+Libya | https://tanasuh.tv/?s=Libya+Egypt+talks,ok,20,12,17,6,0,14,0,0,,,"rejected_non_article=2; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests', 'requests:article_page_verification']; rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Regional & International",2026-06-17T06:54:25Z
Akhbar Libya 24,https://akhbarlibya24.net/category/libya-news/ | https://akhbarlibya24.net/ | https://akhbarlibya24.net/feed/ | https://akhbarlibya24.net/?s=UNSMIL+Libya | https://akhbarlibya24.net/?s=structured+dialogue+reaction | https://akhbarlibya24.net/?s=Libya+Egypt+talks,ok,44,22,44,11,8,8,17,0,,,"rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Politics; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Regional & International",2026-06-17T06:54:35Z
Al Saaa 24,https://alsaaa24.net/category/libya | https://alsaaa24.net/ | https://alsaaa24.net/feed,ok,31,18,24,0,10,15,6,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T06:55:10Z
Asharq Al Awsat,https://aawsat.com/tags/%D9%84%D9%8A%D8%A8%D9%8A%D8%A7 | https://aawsat.com/feed | https://aawsat.com/rss/ | https://aawsat.com/search?search=UNSMIL+Libya | https://aawsat.com/search?search=Libya+Egypt+talks | https://aawsat.com/search?search=Libya+analysis,ok,0,0,0,0,0,0,0,0,no_article_links_found,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:sitemap_discovery', 'playwright_default:sitemap_discovery', 'playwright_default:category_pages', 'requests_with_browser_headers:category_pages', 'playwright_default:archive_pages']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=[]; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=[]; contextual_pass=section_coverage:Regional & International; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=[]; contextual_pass=section_coverage:Varieties",2026-06-17T06:56:09Z
